	voice Midi Diff								present		 Best		Sec

printNotes: i= 117-<1736 1743  -7>,  	Bb2 --   1/32nd( 16) <      > 	V 18 - M 33	=-15  %-83  	q= +2  %+11  	 0.099(79)<-----%83   %11

printNotes: i= 118-<1921 1958 -37>,  	 C3 --    half.(392) <-1*sela> 	V373 - M392	=-19  %-5  	q=-19  %-5  	 2.159(79)


silence
printNotes: i= 119-<   0   40 -40>,  	Slc --   whole.(784) <-3*sela> 	V735 - M654	=+81  %+11  	q=-49  %-7  	 4.261(79)<-----%11   %7

printNotes: i= 120-<1243 1273 -30>,  	 F2 --  1/32nd.( 25) <      > 	V 23 - M 33	=-10  %-43  	q= -2  %-9  	 0.128(79)<-----%43   %9

printNotes: i= 121-<1722 1743 -21>,  	Bb2 -- 1/32nd..( 29) <      > 	V 30 - M 33	= -3  %-10  	q= +1  %+3  	 0.168(79)<-----%10   %3

printNotes: i= 122-<1536 1602 -66>,  	Ak2 --  1/32nd.( 25) <      > 	V 25 - M 33	= -8  %-32  	q=  +  %+0  	 0.139(79)<-----%32   %0

printNotes: i= 123-<1730 1743 -13>,  	Bb2 --  1/8th..(114) <      > 	V119 - M 33	=+86  %+72  	q= +5  %+4  	 0.685(79)<-----%72   %4

printNotes: i= 124-<1721 1743 -22>,  	Bb2 --    1/8th( 65) <      > 	V 65 - M 65	=  +  %+0  	q=  +  %+0  	 0.372(79)<-- same note
printNotes: i= 125-<1273 1602 -329>,  	Ak2 -- 1/32nd..( 29) <      > 	V 27 - M 33	= -6  %-22  	q= -2  %-7  	 0.151(79)<-----%22   %7

printNotes: i= 126-<1790 1958 -168>,  	 C3 -- 1/16th..( 57) <      > 	V 59 - M 33	=+26  %+44  	q= +2  %+3  	 0.337(79)<-----%44   %3

printNotes: i= 127-<1973 1958  15>,  	 C3 --   1/16th( 33) <      > 	V 33 - M 33	=  +  %+0  	q=  +  %+0  	 0.186(79)<-- same note
printNotes: i= 128-<2166 2279 -113>,  	Eb3 --  1/64th.( 12) <      > 	V  9 - M 33	=-24  %-267  	q= -3  %-33  	 0.046(79)<-----%267   %33 <<

printNotes: i= 129-<1973 1958  15>,  	 C3 --   1/4th.(196) <      > 	V183 - M 33	=+150  %+82  	q=-13  %-7  	 1.057(79)<-----%82   %7



silence
printNotes: i= 130-<   0   40 -40>,  	Slc -- 1/16th..( 57) <      > 	V 59 - M131	=-72  %-122  	q= +2  %+3  	 0.337(79)<-----%122   %3

printNotes: i= 131-<1553 1958 -405>,  	 C3 -- 1/16th..( 57) <      > 	V 57 - M 33	=+24  %+42  	q=  +  %+0  	 0.325(79)<-----%42   %0

printNotes: i= 132-<1597 1958 -361>,  	 C3 --    1/4th(131) <      > 	V131 - M131	=  +  %+0  	q=  +  %+0  	 0.755(79)<-- same note
printNotes: i= 133-<1407 1602 -195>,  	Ak2 --   1/32nd( 16) <      > 	V 17 - M 33	=-16  %-94  	q= +1  %+6  	 0.093(79)<-----%94   %6

printNotes: i= 134-<1754 1743  11>,  	Bb2 --  1/4th..(229) <      > 	V225 - M261	=-36  %-16  	q= -4  %-2  	 1.300(79)<-----%16   %2

printNotes: i= 135-<1701 1743 -42>,  	Bb2 --   1/64th(  8) <      > 	V 10 - M 16	= -6  %-60  	q= +2  %+20  	 0.052(79)<-- same note<-----%60   %20 <<

printNotes: i= 136-< 894 1602 -708>,  	Ak2 --   1/8th.( 98) <      > 	V102 - M 16	=+86  %+84  	q= +4  %+4  	 0.586(79)<-----%84   %4

printNotes: i= 137-<1872 1958 -86>,  	 C3 --   1/16th( 33) <      > 	V 33 - M 33	=  +  %+0  	q=  +  %+0  	 0.186(79)
printNotes: i= 138-<2001 1958  43>,  	 C3 --   1/4th.(196) <1*sela> 	V212 - M261	=-49  %-23  	q=+16  %+8  	 1.225(79)<-- same note<-----%23   %8



silence
printNotes: i= 139-<   0   40 -40>,  	Slc --   1/4th.(196) <      > 	V182 - M131	=+51  %+28  	q=-14  %-8  	 1.051(79)<-----%28   %8

printNotes: i= 140-<1388 1602 -214>,  	Ak2 -- 1/32nd..( 29) <      > 	V 30 - M 33	= -3  %-10  	q= +1  %+3  	 0.168(79)<-----%10   %3

printNotes: i= 141-<1970 1958  12>,  	 C3 --   1/4th.(196) <      > 	V191 - M196	= -5  %-3  	q= -5  %-3  	 1.103(79)
printNotes: i= 142-<1470 1743 -273>,  	Bb2 --    1/8th( 65) <      > 	V 68 - M 65	= +3  %+4  	q= +3  %+4  	 0.389(79)
