	voice Midi Diff								present		 Best		Sec

printNotes: i= 154-<1497 1477  20>,  	 G2 --   1/16th( 36) <      > 	V 34 - M 36	= -2  %-6  	q= -2  %-6  	 0.192(72)
printNotes: i= 155-<1606 1611  -5>,  	Ak2 --   1/16th( 36) <      > 	V 34 - M 36	= -2  %-6  	q= -2  %-6  	 0.192(72)
printNotes: i= 156-<1325 1268  57>,  	 F2 --   1/16th( 36) <      > 	V 38 - M 36	= +2  %+5  	q= +2  %+5  	 0.215(72)
printNotes: i= 157-<1499 1477  22>,  	 G2 --     half(287) <      > 	V275 - M287	=-12  %-4  	q=-12  %-4  	 1.591(72)


silence
printNotes: i= 158-<   0   40 -40>,  	Slc --    whole(575) <-1*sela> 	V551 - M575	=-24  %-4  	q=-24  %-4  	 3.193(72)
printNotes: i= 159-<2216 2472 -256>,  	 F3 --  1/16th.( 54) <      > 	V 54 - M 54	=  +  %+0  	q=  +  %+0  	 0.308(72)
printNotes: i= 160-<1148 2472 -1324>,  	 F3 --   1/16th( 36) <      > 	V 36 - M 36	=  +  %+0  	q=  +  %+0  	 0.203(72)<-- same note
printNotes: i= 161-<2469 2472  -3>,  	 F3 --  1/8th..(126) <      > 	V127 - M144	=-17  %-13  	q= +1  %+1  	 0.731(72)<-- same note<-----%13   %1

