	voice Midi Diff								present		 Best		Sec

printNotes: i= 157-<2171 2182 -11>,  	 F2 -- 1/64th..( 15) <      > 	V 15 - M 33	=-18  %-120  	q=  +  %+0  	 0.081(77)<-----%120   %0 <<

printNotes: i= 158-<2395 2392   3>,  	 G2 --  1/16th.( 50) <      > 	V 50 - M 67	=-17  %-34  	q=  +  %+0  	 0.284(77)<-----%34   %0

printNotes: i= 159-<2594 2587   7>,  	 A2 --   1/16th( 33) <      > 	V 39 - M 33	= +6  %+15  	q= +6  %+15  	 0.221(77)
printNotes: i= 160-<2411 2392  19>,  	 G2 -- 1/32nd..( 29) <      > 	V 28 - M 33	= -5  %-18  	q= -1  %-4  	 0.157(77)<-----%18   %4

printNotes: i= 161-<1778 2182 -404>,  	 F2 --  1/32nd.( 25) <      > 	V 26 - M 33	= -7  %-27  	q= +1  %+4  	 0.145(77)<-----%27   %4

printNotes: i= 162-<1520 2037 -517>,  	Ek2 --   1/32nd( 17) <      > 	V 17 - M 33	=-16  %-94  	q=  +  %+0  	 0.093(77)<-----%94   %0

