	voice Midi Diff								present		 Best		Sec

printNotes: i= 137-<2188 2108  80>,  	Bb2 --  1/32nd.( 23) <      > 	V 20 - M 31	=-11  %-55  	q= -3  %-15  	 0.110(83)<-----%55   %15

printNotes: i= 138-<1965 1964   1>,  	Ak2 --    1/8th( 63) <      > 	V 60 - M 31	=+29  %+48  	q= -3  %-5  	 0.342(83)<-----%48   %5

printNotes: i= 139-<2180 2108  72>,  	Bb2 --  1/32nd.( 23) <      > 	V 20 - M 16	= +4  %+20  	q= -3  %-15  	 0.110(83)<-----%20   %15

printNotes: i= 140-<1962 1964  -2>,  	Ak2 --   1/16th( 31) <      > 	V 38 - M 16	=+22  %+58  	q= +7  %+18  	 0.215(83)<-----%58   %18

printNotes: i= 141-<2156 2108  48>,  	Bb2 --   1/32nd( 16) <      > 	V 19 - M 16	= +3  %+16  	q= +3  %+16  	 0.104(83)
printNotes: i= 142-<1969 1964   5>,  	Ak2 -- 1/32nd..( 27) <      > 	V 27 - M 31	= -4  %-15  	q=  +  %+0  	 0.151(83)<-----%15   %0

printNotes: i= 143-<1834 1829   5>,  	 G2 -- 1/32nd..( 27) <      > 	V 27 - M 31	= -4  %-15  	q=  +  %+0  	 0.151(83)<-----%15   %0

printNotes: i= 144-<1986 1964  22>,  	Ak2 --  1/16th.( 47) <      > 	V 41 - M 16	=+25  %+61  	q= -6  %-15  	 0.232(83)<-----%61   %15

printNotes: i= 145-<2110 2108   2>,  	Bb2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(83)
printNotes: i= 146-<1874 1829  45>,  	 G2 --   1/16th( 31) <      > 	V 34 - M 21	=+13  %+38  	q= +3  %+9  	 0.192(83)<-----%38   %9

printNotes: i= 147-<2044 1964  80>,  	Ak2 --  1/32nd.( 23) <      > 	V 20 - M 21	= -1  %-5  	q= -3  %-15  	 0.110(83)
printNotes: i= 148-<1831 1829   2>,  	 G2 --    1/8th( 63) <      > 	V 75 - M115	=-40  %-53  	q=+12  %+16  	 0.430(83)<-----%53   %16

printNotes: i= 149-<1955 1964  -9>,  	Ak2 --   1/16th( 31) <      > 	V 29 - M 31	= -2  %-7  	q= -2  %-7  	 0.163(83)
printNotes: i= 150-<1832 1829   3>,  	 G2 --   1/32nd( 16) <      > 	V 18 - M 16	= +2  %+11  	q= +2  %+11  	 0.099(83)
printNotes: i= 151-<1956 1964  -8>,  	Ak2 -- 1/32nd..( 27) <      > 	V 27 - M 16	=+11  %+41  	q=  +  %+0  	 0.151(83)<-----%41   %0



silence
printNotes: i= 152-<   0   40 -40>,  	Slc -- 1/16th..( 55) <      > 	V 58 - M 63	= -5  %-9  	q= +3  %+5  	 0.331(83)<-----%9   %5

printNotes: i= 153-<1866 1964 -98>,  	Ak2 --  1/32nd.( 23) <      > 	V 24 - M 16	= +8  %+33  	q= +1  %+4  	 0.134(83)<-----%33   %4

printNotes: i= 154-<1841 1829  12>,  	 G2 --  1/32nd.( 23) <      > 	V 22 - M 31	= -9  %-41  	q= -1  %-5  	 0.122(83)<-----%41   %5

printNotes: i= 155-<1949 1964 -15>,  	Ak2 -- 1/32nd..( 27) <      > 	V 27 - M 16	=+11  %+41  	q=  +  %+0  	 0.151(83)<-----%41   %0

printNotes: i= 156-<2088 2108 -20>,  	Bb2 --   128th.(  6) <      > 	V  6 - M 16	=-10  %-167  	q=  +  %+0  	 0.029(83)<-----%167   %0 <<

printNotes: i= 157-<1944 1964 -20>,  	Ak2 -- 1/32nd..( 27) <      > 	V 27 - M 31	= -4  %-15  	q=  +  %+0  	 0.151(83)<-----%15   %0

printNotes: i= 158-<1830 1829   1>,  	 G2 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(83)
printNotes: i= 159-<1989 1964  25>,  	Ak2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(83)
