	voice Midi Diff								present		 Best		Sec

printNotes: i= 147-<2590 2586   4>,  	 G2 --   1/16th( 31) <      > 	V 36 - M 31	= +5  %+14  	q= +5  %+14  	 0.203(84)
printNotes: i= 148-<2459 2462  -3>,  	F#2 --  1/32nd.( 23) <      > 	V 19 - M 31	=-12  %-63  	q= -4  %-21  	 0.104(84)<-----%63   %21

printNotes: i= 149-<2511 2586 -75>,  	 G2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(84)
printNotes: i= 150-<2706 2799 -93>,  	 A2 --  1/16th.( 46) <      > 	V 39 - M 31	= +8  %+21  	q= -7  %-18  	 0.221(84)
printNotes: i= 151-<2826 2860 -34>,  	Bb2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(84)
printNotes: i= 152-<2839 2799  40>,  	 A2 --  1/16th.( 46) <      > 	V 44 - M 46	= -2  %-5  	q= -2  %-5  	 0.250(84)
printNotes: i= 153-<2606 2586  20>,  	 G2 -- 1/32nd..( 27) <      > 	V 25 - M 31	= -6  %-24  	q= -2  %-8  	 0.139(84)<-----%24   %8

printNotes: i= 154-<2814 2799  15>,  	 A2 -- 1/32nd..( 27) <      > 	V 28 - M 46	=-18  %-64  	q= +1  %+4  	 0.157(84)<-----%64   %4

printNotes: i= 155-<2857 2860  -3>,  	Bb2 --   1/16th( 31) <      > 	V 29 - M 31	= -2  %-7  	q= -2  %-7  	 0.163(84)
printNotes: i= 156-<2763 2799 -36>,  	 A2 --   1/32nd( 15) <      > 	V 18 - M 31	=-13  %-72  	q= +3  %+17  	 0.099(84)<-----%72   %17

printNotes: i= 157-<2864 2860   4>,  	Bb2 -- 1/32nd..( 27) <      > 	V 25 - M 15	=+10  %+40  	q= -2  %-8  	 0.139(84)<-----%40   %8

printNotes: i= 158-<3106 3055  51>,  	 C3 -- 1/64th..( 14) <      > 	V 14 - M 15	= -1  %-7  	q=  +  %+0  	 0.075(84)
printNotes: i= 159-<2887 2860  27>,  	Bb2 -- 1/32nd..( 27) <      > 	V 28 - M 15	=+13  %+46  	q= +1  %+4  	 0.157(84)<-----%46   %4

printNotes: i= 160-<3104 3055  49>,  	 C3 -- 1/64th..( 14) <      > 	V 14 - M 15	= -1  %-7  	q=  +  %+0  	 0.075(84)
printNotes: i= 161-<3223 2799 424>,  	 A2 --    1/4th(124) <      > 	V130 - M 62	=+68  %+52  	q= +6  %+5  	 0.749(84)<-----%52   %5



silence
printNotes: i= 162-<   0   40 -40>,  	Slc --   1/16th( 31) <      > 	V 36 - M 62	=-26  %-72  	q= +5  %+14  	 0.203(84)<-----%72   %14

