	voice Midi Diff								present		 Best		Sec

printNotes: i= 156-<2353 2353    >,  	Ak2 --   1/8th.( 91) <      > 	V 87 - M 61	=+26  %+30  	q= -4  %-5  	 0.499(85)<-----%30   %5

printNotes: i= 157-<2278 2213  65>,  	 G2 --  1/32nd.( 23) <      > 	V 23 - M 46	=-23  %-100  	q=  +  %+0  	 0.128(85)<-----%100   %0

printNotes: i= 158-< 423 2010 -1587>,  	 F2 -- 1/16th..( 53) <      > 	V 52 - M 30	=+22  %+42  	q= -1  %-2  	 0.296(85)<-----%42   %2

printNotes: i= 159-<2210 2213  -3>,  	 G2 --   1/8th.( 91) <      > 	V 85 - M 91	= -6  %-7  	q= -6  %-7  	 0.488(85)
printNotes: i= 160-<2291 2353 -62>,  	Ak2 --    1/4th(121) <      > 	V126 - M 61	=+65  %+52  	q= +5  %+4  	 0.726(85)<-----%52   %4



silence
printNotes: i= 161-<   0   40 -40>,  	Slc --  1/8th..(106) <      > 	V110 - M121	=-11  %-10  	q= +4  %+4  	 0.633(85)<-----%10   %4

printNotes: i= 162-<2176 2213 -37>,  	 G2 --   1/16th( 30) <      > 	V 33 - M 46	=-13  %-39  	q= +3  %+9  	 0.186(85)<-----%39   %9

