	voice Midi Diff								present		 Best		Sec

printNotes: i= 135-<2414 2385  29>,  	Bb2 --   1/64th(  7) <      > 	V  9 - M 15	= -6  %-67  	q= +2  %+22  	 0.046(89)<-----%67   %22 <<

printNotes: i= 136-<2243 2228  15>,  	Ak2 -- 1/32nd..( 25) <      > 	V 26 - M 29	= -3  %-12  	q= +1  %+4  	 0.145(89)<-----%12   %4

printNotes: i= 137-<2116 2103  13>,  	 G2 -- 1/64th..( 13) <      > 	V 13 - M 29	=-16  %-123  	q=  +  %+0  	 0.070(89)<-----%123   %0 <<

printNotes: i= 138-<2220 2228  -8>,  	Ak2 -- 1/32nd..( 25) <      > 	V 25 - M 29	= -4  %-16  	q=  +  %+0  	 0.139(89)<-----%16   %0

printNotes: i= 139-<2330 2385 -55>,  	Bb2 --    128th(  4) <      > 	V  3 - M 15	=-12  %-400  	q= -1  %-33  	 0.012(89)<-----%400   %33 <<

printNotes: i= 140-<2217 2228 -11>,  	Ak2 -- 1/32nd..( 25) <      > 	V 26 - M 29	= -3  %-12  	q= +1  %+4  	 0.145(89)<-----%12   %4

printNotes: i= 141-<2094 2103  -9>,  	 G2 --  1/32nd.( 22) <      > 	V 19 - M 29	=-10  %-53  	q= -3  %-16  	 0.104(89)<-----%53   %16

printNotes: i= 142-<2220 2228  -8>,  	Ak2 -- 1/32nd..( 25) <      > 	V 25 - M 15	=+10  %+40  	q=  +  %+0  	 0.139(89)<-----%40   %0

printNotes: i= 143-<2077 2385 -308>,  	Bb2 --   1/64th(  7) <      > 	V  7 - M 15	= -8  %-114  	q=  +  %+0  	 0.035(89)<-----%114   %0 <<

printNotes: i= 144-<2135 2228 -93>,  	Ak2 -- 1/32nd..( 25) <      > 	V 24 - M 29	= -5  %-21  	q= -1  %-4  	 0.134(89)<-----%21   %4

printNotes: i= 145-<2122 2103  19>,  	 G2 --   1/32nd( 15) <      > 	V 16 - M 29	=-13  %-81  	q= +1  %+6  	 0.087(89)<-----%81   %6 <<

printNotes: i= 146-<2176 2228 -52>,  	Ak2 --   1/16th( 29) <      > 	V 27 - M 15	=+12  %+44  	q= -2  %-7  	 0.151(89)<-----%44   %7

printNotes: i= 147-<1995 2385 -390>,  	Bb2 --  128th..(  6) <      > 	V  6 - M 15	= -9  %-150  	q=  +  %+0  	 0.029(89)<-----%150   %0 <<

printNotes: i= 148-<2236 2228   8>,  	Ak2 --   1/32nd( 15) <      > 	V 16 - M 29	=-13  %-81  	q= +1  %+6  	 0.087(89)<-----%81   %6 <<

printNotes: i= 149-<2413 2385  28>,  	Bb2 --  1/16th.( 44) <      > 	V 41 - M 29	=+12  %+29  	q= -3  %-7  	 0.232(89)<-----%29   %7

printNotes: i= 150-<2247 2228  19>,  	Ak2 --  1/32nd.( 22) <      > 	V 20 - M 15	= +5  %+25  	q= -2  %-10  	 0.110(89)<-----%25   %10

printNotes: i= 151-<2304 2385 -81>,  	Bb2 -- 1/64th..( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(89)
printNotes: i= 152-<2213 2228 -15>,  	Ak2 --  1/16th.( 44) <      > 	V 40 - M 44	= -4  %-10  	q= -4  %-10  	 0.226(89)
printNotes: i= 153-<2391 2385   6>,  	Bb2 --    1/8th( 58) <      > 	V 68 - M 58	=+10  %+15  	q=+10  %+15  	 0.389(89)
printNotes: i= 154-<2245 2228  17>,  	Ak2 --  1/64th.( 11) <      > 	V 10 - M 29	=-19  %-190  	q= -1  %-10  	 0.052(89)<-----%190   %10 <<

printNotes: i= 155-<2278 2385 -107>,  	Bb2 --  1/16th.( 44) <      > 	V 44 - M 29	=+15  %+34  	q=  +  %+0  	 0.250(89)<-----%34   %0

printNotes: i= 156-<2230 2228   2>,  	Ak2 --  1/64th.( 11) <      > 	V 12 - M 15	= -3  %-25  	q= +1  %+8  	 0.064(89)<-----%25   %8 <<

printNotes: i= 157-<2295 2385 -90>,  	Bb2 --  128th..(  6) <      > 	V  6 - M 15	= -9  %-150  	q=  +  %+0  	 0.029(89)<-----%150   %0 <<

printNotes: i= 158-<2226 2228  -2>,  	Ak2 --    128th(  4) <      > 	V  4 - M 29	=-25  %-625  	q=  +  %+0  	 0.017(89)<-----%625   %0 <<

printNotes: i= 159-<2199 2103  96>,  	 G2 --  1/64th.( 11) <      > 	V 11 - M 15	= -4  %-36  	q=  +  %+0  	 0.058(89)<-----%36   %0 <<

printNotes: i= 160-<2068 2228 -160>,  	Ak2 --  1/64th.( 11) <      > 	V 12 - M 15	= -3  %-25  	q= +1  %+8  	 0.064(89)<-----%25   %8 <<

