	voice Midi Diff								present		 Best		Sec

printNotes: i= 160-<2455 2478 -23>,  	F#2 --  1/32nd.( 26) <      > 	V 28 - M 26	= +2  %+7  	q= +2  %+7  	 0.157(74)
printNotes: i= 161-<2531 2586 -55>,  	 G2 --  1/64th.( 13) <      > 	V 12 - M 13	= -1  %-8  	q= -1  %-8  	 0.064(74)
printNotes: i= 162-<2469 2478  -9>,  	F#2 --   1/32nd( 17) <      > 	V 21 - M 17	= +4  %+19  	q= +4  %+19  	 0.116(74)
printNotes: i= 163-<2577 2586  -9>,  	 G2 --   1/16th( 35) <      > 	V 36 - M 35	= +1  %+3  	q= +1  %+3  	 0.203(74)
printNotes: i= 164-<2476 2478  -2>,  	F#2 --   1/32nd( 17) <      > 	V 17 - M 17	=  +  %+0  	q=  +  %+0  	 0.093(74)
printNotes: i= 165-<2561 2586 -25>,  	 G2 --  1/32nd.( 26) <      > 	V 23 - M 26	= -3  %-13  	q= -3  %-13  	 0.128(74)


silence
printNotes: i= 166-<   0   40 -40>,  	Slc --   1/16th( 35) <      > 	V 37 - M 35	= +2  %+5  	q= +2  %+5  	 0.209(74)
printNotes: i= 167-<2170 2217 -47>,  	Ek2 --   1/32nd( 17) <      > 	V 17 - M 17	=  +  %+0  	q=  +  %+0  	 0.093(74)
printNotes: i= 168-<1784 2091 -307>,  	 D2 --   1/4th.(210) <      > 	V203 - M210	= -7  %-3  	q= -7  %-3  	 1.173(74)
printNotes: i= 169-<2512 2586 -74>,  	 G2 -- 1/32nd..( 31) <      > 	V 30 - M 31	= -1  %-3  	q= -1  %-3  	 0.168(74)
printNotes: i= 170-<2252 2217  35>,  	Ek2 --  1/16th.( 52) <      > 	V 51 - M 52	= -1  %-2  	q= -1  %-2  	 0.290(74)
printNotes: i= 171-<2131 2091  40>,  	 D2 --   1/32nd( 17) <      > 	V 17 - M 17	=  +  %+0  	q=  +  %+0  	 0.093(74)
printNotes: i= 172-<2217 2217    >,  	Ek2 --  1/16th.( 52) <      > 	V 46 - M 52	= -6  %-13  	q= -6  %-13  	 0.261(74)
printNotes: i= 173-<2558 2586 -28>,  	 G2 --  1/32nd.( 26) <      > 	V 23 - M 26	= -3  %-13  	q= -3  %-13  	 0.128(74)


silence
printNotes: i= 174-<   0   40 -40>,  	Slc --    1/4th(140) <1*sela> 	V159 - M105	=+54  %+34  	q=+19  %+12  	 0.917(74)<-----%34   %12

