	voice Midi Diff								present		 Best		Sec

printNotes: i= 155-<2552 2558  -6>,  	 C3 --   1/32nd( 14) <      > 	V 16 - M 14	= +2  %+12  	q= +2  %+12  	 0.087(89)


silence
printNotes: i= 156-<   0   40 -40>,  	Slc --     half(231) <3*sela> 	V281 - M231	=+50  %+18  	q=+50  %+18  	 1.625(89)
printNotes: i= 157-<2086 2083   3>,  	 G2 --  1/16th.( 43) <      > 	V 44 - M 43	= +1  %+2  	q= +1  %+2  	 0.250(89)
printNotes: i= 158-<2148 2207 -59>,  	Ak2 --   1/16th( 29) <      > 	V 32 - M 29	= +3  %+9  	q= +3  %+9  	 0.180(89)
printNotes: i= 159-<2369 2382 -13>,  	Bb2 --    1/4th(116) <1*sela> 	V143 - M173	=-30  %-21  	q=+27  %+19  	 0.824(89)
printNotes: i= 160-<2554 2558  -4>,  	 C3 --  1/16th.( 43) <      > 	V 46 - M 43	= +3  %+7  	q= +3  %+7  	 0.261(89)


silence
printNotes: i= 161-<   0   40 -40>,  	Slc --  1/16th.( 43) <      > 	V 36 - M 43	= -7  %-19  	q= -7  %-19  	 0.203(89)
printNotes: i= 162-<2197 2207 -10>,  	Ak2 --    1/8th( 58) <      > 	V 70 - M 58	=+12  %+17  	q=+12  %+17  	 0.401(89)
printNotes: i= 163-<2380 2382  -2>,  	Bb2 --   1/16th( 29) <      > 	V 34 - M 29	= +5  %+15  	q= +5  %+15  	 0.192(89)


silence
printNotes: i= 164-<2188   40 2148>,  	Slc --   1/64th(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(89)
printNotes: i= 165-<2108 2083  25>,  	 G2 --  1/16th.( 43) <      > 	V 43 - M 43	=  +  %+0  	q=  +  %+0  	 0.244(89)
printNotes: i= 166-<2186 2207 -21>,  	Ak2 --  1/32nd.( 22) <      > 	V 21 - M 22	= -1  %-5  	q= -1  %-5  	 0.116(89)
printNotes: i= 167-<2088 2083   5>,  	 G2 --   1/16th( 29) <      > 	V 32 - M 29	= +3  %+9  	q= +3  %+9  	 0.180(89)
printNotes: i= 168-<2200 2207  -7>,  	Ak2 --  1/32nd.( 22) <      > 	V 19 - M 22	= -3  %-16  	q= -3  %-16  	 0.104(89)
printNotes: i= 169-<2094 2083  11>,  	 G2 --   1/32nd( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(89)
printNotes: i= 170-<2208 2207   1>,  	Ak2 --  1/64th.( 11) <      > 	V 12 - M 14	= -2  %-17  	q= +1  %+8  	 0.064(89)
printNotes: i= 171-<2074 2083  -9>,  	 G2 -- 1/32nd..( 25) <      > 	V 24 - M 25	= -1  %-4  	q= -1  %-4  	 0.134(89)
printNotes: i= 172-<1847 1835  12>,  	 F2 --   1/32nd( 14) <      > 	V 15 - M 14	= +1  %+7  	q= +1  %+7  	 0.081(89)
printNotes: i= 173-<1913 2083 -170>,  	 G2 -- 1/64th..( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(89)
printNotes: i= 174-<1849 1835  14>,  	 F2 -- 1/32nd..( 25) <      > 	V 25 - M 25	=  +  %+0  	q=  +  %+0  	 0.139(89)
