	voice Midi Diff								present		 Best		Sec

printNotes: i= 167-<1923 1929  -6>,  	Dk2 --  1/4th..(223) <      > 	V221 - M223	= -2  %-1  	q= -2  %-1  	 1.277(81)
printNotes: i= 168-<1804 1802   2>,  	 C2 -- 1/32nd..( 28) <      > 	V 29 - M 28	= +1  %+3  	q= +1  %+3  	 0.163(81)
printNotes: i= 169-<1926 1929  -3>,  	Dk2 --   1/32nd( 16) <      > 	V 18 - M 16	= +2  %+11  	q= +2  %+11  	 0.099(81)
printNotes: i= 170-<1806 1802   4>,  	 C2 -- 1/32nd..( 28) <      > 	V 28 - M 28	=  +  %+0  	q=  +  %+0  	 0.157(81)


silence
printNotes: i= 171-<   0   40 -40>,  	Slc --    1/8th( 64) <      > 	V 77 - M102	=-25  %-32  	q=+13  %+17  	 0.441(81)<-----%32   %17

printNotes: i= 172-<1238 1105 133>,  	 F1 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(81)
printNotes: i= 173-<1874 1929 -55>,  	Dk2 -- 1/16th..( 56) <      > 	V 59 - M 56	= +3  %+5  	q= +3  %+5  	 0.337(81)
printNotes: i= 174-<1795 1802  -7>,  	 C2 -- 1/64th..( 14) <      > 	V 14 - M 16	= -2  %-14  	q=  +  %+0  	 0.075(81)
printNotes: i= 175-<1928 1929  -1>,  	Dk2 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(81)
